Date,Open,High,Low,Close,Volume
1549900140,396589,396910.00363,396566.55,396727.99,17.45639546
1549900200,396708.77,396732.51,396633.33,396665.53,5.67817804
1549900260,396587.26,396684.01,396360,396360,12.18740184
1549900320,396360,396360,396119.26847,396159.26,16.66453474
1549900380,396097.33,396209.68,395975.24,396152,14.8221705
1549900440,396138.17864,396391.01,395665,396343.92,63.85915276
1549900680,396572.73,396668,396540.56,396567.00005,10.96652606
1549900740,396590.00005,396749.2,396588.74,396696.99,12.6285771
1549901040,396351,396559,396351,396459.26,8.1783193
1549901100,396475.85,396697.30182,396446.00995,396631.54,11.44494994
1549901160,396631.54,396631.54,396407,396566.01,6.26574854
1549901220,396552.99,396774.11,396503,396666.27,20.71540486
1549901340,396490.37,396512,395918,396226,27.99944192
1549901400,396230.99999,396332.14,396016.24,396274,12.892298
1549901460,396281.74,396380.33,395813.36,395990.53,45.08012648
1549901580,396229.28,396256.74,396137,396184,4.73170274
1549901640,396184,396184,396082,396082,1.32
1549901700,396107,396226.69,396107,396153,7.64481106
1549901760,396145.02,396245,396080,396094.96,10.42912812
1549901820,396088.01,396130.07,395958,395964,8.9251909
1549901880,396009,396023.82999,395980.87,395980.87,4.92445152
1549901940,395997.99,396161.82,395798.01,395849,20.67273304
1549902000,395888.01,396053,395723.14,395753.36,46.11768802
1549902120,396013.19,396234.42824,395888.00001,396215,21.95360968
1549902180,396212,396254.99,396104,396188,8.99665316
1549902240,396192,396210.04,396067,396093,22.84144872
1549902300,396099,396175.71,395892.70999,395892.70999,23.78147408
1549902360,395940.03,395945,395762,395830.96,30.03801422
1549902420,395827.99,395925.99005,395816.93,395903.99,16.61795872
1549902480,395908,395967,395818,395818,5.726278
1549902540,395866.45,396086,395864.99,396086,10.55928456
1549902600,396086,396107.9,395916.14,396019.83,12.85041476
1549902660,395987.42,396116.54,395212.01,395669.09007,88.64826792
1549902720,395635.87,395872,395166.99,395401.07,70.25856556
1549902780,395244.24,395593,394600,394991.12001,221.47956266
1549902840,394991.47,395378,394574.24546,394700.99,146.0255412
1549902900,394743.99,394752,393898,394602,241.25554418
1549902960,394594.99,395157.82,394496.53,394843.9,64.30357218
1549903020,394866.99,395531.8644,394866.99,394955.01,92.75894748
1549903080,394961.99995,395095.11,394404.01,395052.99,46.34413836
1549903140,395049.99,395338.98,394934.61,395121.15,44.69617834
1549903200,395112.09,395349.12,395091,395123,22.65064324
1549903260,395091,395165.35999,394768.98995,394860.62,38.20965654
1549903380,395098,395299.98203,395026,395197.76,12.11145944
1549903440,395245.99,395299.98203,395027,395172.99,11.56097234
1549903500,395206,395213.99,394757,395018.25,52.59249702
1549903560,394902.21,395014.51,394729.55,394922.99,20.4594216
1549903620,394899,394922.99,394619.98999,394847.18,38.05348768
1549903680,394798,394865.88,394464,394538.31,20.04465122
1549903740,394476.26,394975,394179.74,394634.75637,84.31021452
1549903800,394711.22,394931,394685.81,394756.02,20.94817402
1549903860,394775,394874.99,394637,394688,18.97588298
1549903920,394690.99,394743,394297,394405.01,40.62094598
1549904100,394842.25,394918.2,394791,394887.74,9.29366548
1549904160,394887.74,394948.00005,394712.21,394767.12368,20.82962084
1549904220,394781.01001,395022.83,394732.01,395008.74188,34.48702528
1549904280,395022.83,395116.74,394921.87,395113.74,12.74680136
1549904340,395074.66,395122,394991.71,395027,11.18659524
1549904400,395024.09,395441,395004.75,395167.9999,37.7447381
1549904520,394983.38,394989.74,394840.13,394986.74005,7.65977082
1549904580,394980.39,395091.44,394913.71,395021.1,10.57381774
1549904640,395021.1,395045.65,394892.57,394892.57,8.01423404
1549904700,394975.12,394975.12,394655,394907.99998,32.60000032
1549904820,394759.73,394891,394713.27,394891,15.17465098
1549904880,394878.47,394943.08,394779.44001,394798.33,4.64028216
1549904940,394782.44,394820,394744.14,394773,3.16290202
1549905000,394753,394897.28,394739.74,394877,6.92224376
1549905060,394910,394931.34,394799,394851,5.48275048
1549905120,394831,394871,394785.26,394785.26,2.216748
1549905180,394787.26,394903,394746.36,394850.3,10.94112026
1549905240,394780.58,394899.94,394675.26,394675.26,10.37251242
1549905360,395068,395286,394926.55,395286,16.98779252
1549905420,395219.74006,395370,395206.02995,395361.77,13.95344772
